citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number,not_received_for_publication
90 FR 8757, 2025-02178,8759,https://www.federalregister.gov/documents/2025/02/03/2025-02178/prioritizing-military-excellence-and-readiness,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02178.pdf,Presidential Document,Executive Order,02/03/2025,2025-01-27,8757,Prioritizing Military Excellence and Readiness,"See: EO 14148, January 20, 2025; EO 14168, January 20, 2025
Revokes: EO 14004, January 25, 2021",14183,""
90 FR 8761, 2025-02180,8762,https://www.federalregister.gov/documents/2025/02/03/2025-02180/reinstating-service-members-discharged-under-the-militarys-covid-19-vaccination-mandate,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02180.pdf,Presidential Document,Executive Order,02/03/2025,2025-01-27,8761,Reinstating Service Members Discharged Under the Military's COVID-19 Vaccination Mandate,"",14184,""
90 FR 8763, 2025-02181,8765,https://www.federalregister.gov/documents/2025/02/03/2025-02181/restoring-americas-fighting-force,https://www.govinfo.gov/content/pkg/FR-2025-02-03/pdf/2025-02181.pdf,Presidential Document,Executive Order,02/03/2025,2025-01-27,8763,Restoring America's Fighting Force,"See: EO 13950, September 22, 2020; EO 14168, January 20, 2025",14185,""
90 FR 8741, 2025-02172,8742,https://www.federalregister.gov/documents/2025/01/31/2025-02172/removing-barriers-to-american-leadership-in-artificial-intelligence,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02172.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-23,8741,Removing Barriers to American Leadership in Artificial Intelligence,"",14179,""
90 FR 8743, 2025-02173,8745,https://www.federalregister.gov/documents/2025/01/31/2025-02173/council-to-assess-the-federal-emergency-management-agency,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02173.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-24,8743,Council To Assess the Federal Emergency Management Agency,"See: EO 14239, March 18, 2025",14180,""
90 FR 8747, 2025-02174,8750,https://www.federalregister.gov/documents/2025/01/31/2025-02174/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02174.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-24,8747,Emergency Measures To Provide Water Resources in California and Improve Disaster Response in Certain Areas,"",14181,""
90 FR 8751, 2025-02175,8752,https://www.federalregister.gov/documents/2025/01/31/2025-02175/enforcing-the-hyde-amendment,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02175.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-24,8751,Enforcing the Hyde Amendment,"Revokes: EO 14076, July 8, 2022; EO 14079, August 3, 2022",14182,""
90 FR 8625, 2025-02095,8627,https://www.federalregister.gov/documents/2025/01/31/2025-02095/restoring-accountability-to-policy-influencing-positions-within-the-federal-workforce,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02095.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-20,8625,Restoring Accountability to Policy-Influencing Positions Within the Federal Workforce,"Reinstates: EO 13957, October 21, 2020
Revokes: EO 14003, January 22, 2021
",14171,""
90 FR 8629, 2025-02096,8631,https://www.federalregister.gov/documents/2025/01/31/2025-02096/restoring-names-that-honor-american-greatness,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02096.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-20,8629,Restoring Names That Honor American Greatness,"",14172,""
90 FR 8633, 2025-02097,8636,https://www.federalregister.gov/documents/2025/01/31/2025-02097/ending-illegal-discrimination-and-restoring-merit-based-opportunity,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02097.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-21,8633,Ending Illegal Discrimination and Restoring Merit-Based Opportunity,"Revokes: EO 11246, September 24, 1965; EO 12898, February 11, 1994; EO 13583, August 18, 2011; EO 13672, July 21, 2014; Memo. of October 5, 2016",14173,""
90 FR 8637, 2025-02098,8637,https://www.federalregister.gov/documents/2025/01/31/2025-02098/revocation-of-certain-executive-orders,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02098.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-21,8637,Revocation of Certain Executive Orders,"",14174,""
90 FR 8639, 2025-02103,8640,https://www.federalregister.gov/documents/2025/01/31/2025-02103/designation-of-ansar-allah-as-a-foreign-terrorist-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02103.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-22,8639,Designation of Ansar Allah as a Foreign Terrorist Organization,"",14175,""
90 FR 8641, 2025-02116,8642,https://www.federalregister.gov/documents/2025/01/31/2025-02116/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy-senator-robert,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02116.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-23,8641,"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.","",14176,""
90 FR 8643, 2025-02121,8645,https://www.federalregister.gov/documents/2025/01/31/2025-02121/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02121.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-23,8643,President's Council of Advisors on Science and Technology,"See: EO 12968, August 2, 1995; EO 14009, September 29, 2023
Revokes: EO 14007, January 27, 2021",14177,""
90 FR 8647, 2025-02123,8650,https://www.federalregister.gov/documents/2025/01/31/2025-02123/strengthening-american-leadership-in-digital-financial-technology,https://www.govinfo.gov/content/pkg/FR-2025-01-31/pdf/2025-02123.pdf,Presidential Document,Executive Order,01/31/2025,2025-01-23,8647,Strengthening American Leadership in Digital Financial Technology,"Revokes: EO 14067, March 9, 2022",14178,""
90 FR 8611, 2025-02087,8612,https://www.federalregister.gov/documents/2025/01/30/2025-02087/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02087.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8611,Application of Protecting Americans From Foreign Adversary Controlled Applications Act to TikTok,"See: EO 14258, April 4, 2025; EO 14310, June 19, 2025",14166,""
90 FR 8613, 2025-02089,8614,https://www.federalregister.gov/documents/2025/01/30/2025-02089/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02089.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8613,Clarifying the Military's Role in Protecting the Territorial Integrity of the United States,"",14167,""
90 FR 8615, 2025-02090,8618,https://www.federalregister.gov/documents/2025/01/30/2025-02090/defending-women-from-gender-ideology-extremism-and-restoring-biological-truth-to-the-federal,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02090.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8615,Defending Women From Gender Ideology Extremism and Restoring Biological Truth to the Federal Government,"Rescinds: EO 13988, January 20, 2021; EO 14004, January 25, 2021; EO 14021, March 8, 2021; EO 14075, June 15, 2022
See: EO 14183, January 27, 2025; EO 14185, January 27, 2025; EO 14201, February 5, 2025",14168,""
90 FR 8619, 2025-02091,8620,https://www.federalregister.gov/documents/2025/01/30/2025-02091/reevaluating-and-realigning-united-states-foreign-aid,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02091.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8619,Reevaluating and Realigning United States Foreign Aid,"",14169,""
90 FR 8621, 2025-02094,8623,https://www.federalregister.gov/documents/2025/01/30/2025-02094/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02094.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8621,Reforming the Federal Hiring Process and Restoring Merit to Government Service,"See: EO 14210, February 11, 2025",14170,""
90 FR 8451, 2025-02009,8453,https://www.federalregister.gov/documents/2025/01/30/2025-02009/protecting-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02009.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8451,Protecting the United States From Foreign Terrorists and Other National Security and Public Safety Threats,"See: Proc. 10949, June 4, 2025; Proc. 10949, June 4, 2025",14161,""
90 FR 8455, 2025-02010,8457,https://www.federalregister.gov/documents/2025/01/30/2025-02010/putting-america-first-in-international-environmental-agreements,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02010.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8455,Putting America First in International Environmental Agreements,"",14162,""
90 FR 8459, 2025-02011,8461,https://www.federalregister.gov/documents/2025/01/30/2025-02011/realigning-the-united-states-refugee-admissions-program,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02011.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8459,Realigning the United States Refugee Admissions Program,"Revokes: EO 14013, February 4, 2021",14163,""
90 FR 8463, 2025-02012,8465,https://www.federalregister.gov/documents/2025/01/30/2025-02012/restoring-the-death-penalty-and-protecting-public-safety,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02012.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8463,Restoring the Death Penalty and Protecting Public Safety,"",14164,""
90 FR 8467, 2025-02015,8469,https://www.federalregister.gov/documents/2025/01/30/2025-02015/securing-our-borders,https://www.govinfo.gov/content/pkg/FR-2025-01-30/pdf/2025-02015.pdf,Presidential Document,Executive Order,01/30/2025,2025-01-20,8467,Securing Our Borders,"",14165,""
90 FR 8433, 2025-02003,8437,https://www.federalregister.gov/documents/2025/01/29/2025-02003/declaring-a-national-energy-emergency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02003.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8433,Declaring a National Energy Emergency,"See: EO 14193, February 1, 2025; EO 14262, April 8, 2025; EO 14301, May 23, 2025",14156,""
90 FR 8439, 2025-02004,8440,https://www.federalregister.gov/documents/2025/01/29/2025-02004/designating-cartels-and-other-organizations-as-foreign-terrorist-organizations-and-specially,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02004.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8439,Designating Cartels and Other Organizations as Foreign Terrorist Organizations and Specially Designated Global Terrorists,"Amends: EO 13224, September 23, 2001
See: EO 14193, February 1, 2025; EO 14195, February 1, 2025",14157,""
90 FR 8441, 2025-02005,8442,https://www.federalregister.gov/documents/2025/01/29/2025-02005/establishing-and-implementing-the-presidents-department-of-government-efficiency,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02005.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8441,"Establishing and Implementing the President's ""Department of Government Efficiency""","See: EO 14210, February 11, 2025; EO 14219, February 19, 2025; EO 14222, February 26, 2025; EO 14270, April 9, 2025; EO 14300, May 23, 2025",14158,""
90 FR 8443, 2025-02006,8448,https://www.federalregister.gov/documents/2025/01/29/2025-02006/protecting-the-american-people-against-invasion,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02006.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8443,Protecting the American People Against Invasion,"Revokes: EO 13993, January 20, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021
See: EO 14288, April 28, 2025",14159,""
90 FR 8449, 2025-02007,8450,https://www.federalregister.gov/documents/2025/01/29/2025-02007/protecting-the-meaning-and-value-of-american-citizenship,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-02007.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8449,Protecting the Meaning and Value of American Citizenship,"",14160,""
90 FR 8337, 2025-01952,8337,https://www.federalregister.gov/documents/2025/01/29/2025-01952/america-first-policy-directive-to-the-secretary-of-state,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01952.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8337,America First Policy Directive to the Secretary of State,"See: EO 13985, January 20, 2021",14150,""
90 FR 8339, 2025-01953,8341,https://www.federalregister.gov/documents/2025/01/29/2025-01953/ending-radical-and-wasteful-government-dei-programs-and-preferencing,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01953.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8339,Ending Radical and Wasteful Government DEI Programs and Preferencing,"",14151,""
90 FR 8343, 2025-01954,8346,https://www.federalregister.gov/documents/2025/01/29/2025-01954/holding-former-government-officials-accountable-for-election-interference-and-improper-disclosure-of,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01954.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8343,Holding Former Government Officials Accountable for Election Interference and Improper Disclosure of Sensitive Governmental Information,"",14152,""
90 FR 8347, 2025-01955,8351,https://www.federalregister.gov/documents/2025/01/29/2025-01955/unleashing-alaskas-extraordinary-resource-potential,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01955.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8347,Unleashing Alaska's Extraordinary Resource Potential,"",14153,""
90 FR 8353, 2025-01956,8359,https://www.federalregister.gov/documents/2025/01/29/2025-01956/unleashing-american-energy,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01956.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8353,Unleashing American Energy,"Revokes: EO 11991, May 24, 1977; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 14008, January 27, 2021; EO 14007, January 27, 2021; EO 14013, February 4, 2021; EO 14027, May 7, 2021; EO 14030, May 20, 2021; EO 14037, August 5, 2021; EO 14057, December 8, 2021; EO 14072, April 22, 2022; EO 14082, September 12, 2022; EO 14096, April 21, 2023
See: Memo. of January 27, 2021; EO 14300, May 23, 2025; EO 14301, May 23, 2025;  EO 14303, May 23, 2025",14154,""
90 FR 8361, 2025-01957,8362,https://www.federalregister.gov/documents/2025/01/29/2025-01957/withdrawing-the-united-states-from-the-world-health-organization,https://www.govinfo.gov/content/pkg/FR-2025-01-29/pdf/2025-01957.pdf,Presidential Document,Executive Order,01/29/2025,2025-01-20,8361,Withdrawing the United States From the World Health Organization,"Revokes: EO 13987, January 20, 2021",14155,""
90 FR 8235, 2025-01900,8236,https://www.federalregister.gov/documents/2025/01/28/2025-01900/ending-the-weaponization-of-the-federal-government,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01900.pdf,Presidential Document,Executive Order,01/28/2025,2025-01-20,8235,Ending the Weaponization of the Federal Government,"See: EO 14230, March 6, 2025; EO 14237, March 14, 2025; EO 14246, March 25, 2025; EO 14263, April 9, 2025",14147,""
90 FR 8237, 2025-01901,8241,https://www.federalregister.gov/documents/2025/01/28/2025-01901/initial-rescissions-of-harmful-executive-orders-and-actions,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01901.pdf,Presidential Document,Executive Order,01/28/2025,2025-01-20,8237,Initial Rescissions of Harmful Executive Orders and Actions,"Revokes: EO 13985, January 20, 2021; EO 13986, January 20, 2021; EO 13987, January 20, 2021; EO 13988, January 20, 2021; EO 13989, January 20, 2021; EO 13990, January 20, 2021; EO 13992, January 20, 2021; EO 13993, January 20, 2021; EO 13995, January 21, 2021; EO 13996, January 21, 2021; EO 13997, January 21, 2021; EO 13999, January 21, 2021; EO 14000, January 21, 2021; EO 14002, January 22, 2021; EO 14003, January 22, 2021; EO 14004, January 25, 2021; EO 14006, January 26, 2021; EO 14007, January 27, 2021; EO 14008, January 27, 2021; EO 14009, January 28, 2021; EO 14010, February 2, 2021; EO 14011, February 2, 2021; EO 14012, February 2, 2021; EO 14013, February 4, 2021; EO 14015, February 14, 2021; EO 14018, February 24, 2021; EO 14019, March 7, 2021; EO 14020, March 8, 2021; EO 14021, March 8, 2021; EO 14022, April 1, 2021; EO 14023, April 9, 2021; EO 14027, May 7, 2021; EO 14029, May 14, 2021; EO 14030, May 20, 2021; EO 14031, May 28, 2021; EO 14035, June 25, 2021; EO 14037, August 5, 2021; EO 14044; EO 14045, September 13, 2021; EO 14049, October 11, 2021; EO 14050, October 19, 2021; EO 14052, November 15, 2021; EO 14055, November 18, 2021; EO 14057, December 8, 2021; EO 14060, December 15, 2021; EO 14069, March 15, 2022; EO 14070, April 5, 2022; EO 14074, May 25, 2022; EO 14075, June 15, 2022; EO 14082, September 12, 2022; EO 14084, September 30, 2022; EO 14087, October 14, 2022; EO 14089, December 13, 2022; EO 14091, February 16, 2023; Memo. of March 13, 2023; EO 14094, April 6, 2023; EO 14096, April 21, 2023; EO 14099, May 9, 2023; EO 14110, October 30, 2023; EO 14115, February 1, 2024; EO 14124, July 17, 2024; EO 14134, January 3, 2025; EO 14135, January 3, 2025; EO 14136, January 3, 2025; EO 14137, January 3, 2025; EO 14138, January 3, 2025; EO 14139, January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 3, 2025; Memo. of January 6, 2025; Memo. of January 6, 2025; Memo. of January 14, 2025; Memo. of January 14, 2025; EO 14143, January 16, 2025
See: EO 14183, January 27, 2025; EO 14248, March 25, 2025",14148,""
90 FR 8243, 2025-01902,8244,https://www.federalregister.gov/documents/2025/01/28/2025-01902/restoring-freedom-of-speech-and-ending-federal-censorship,https://www.govinfo.gov/content/pkg/FR-2025-01-28/pdf/2025-01902.pdf,Presidential Document,Executive Order,01/28/2025,2025-01-20,8243,Restoring Freedom of Speech and Ending Federal Censorship,"See: EO 14239, March 18, 2025",14149,""
